Resort,City,State,Peak elevation (ft),Base elevation (ft),Vertical drop (ft),Skiable acreage,Total trails,Total lifts,Avg annual snowfall (in),Lift ticket (USD)
Mount Pleasant of Edinboro,Edinboro,Pennsylvania,1550,1200,350,35,10,2,150,33
Alpine Valley Resort,Elkhorn,Wisconsin,1040,820,220,90,20,12,80,53
Elko Snobowl,Elko,Nevada,6988,6338,650,60,10,2,24,20
Whaleback Mountain,Enfield,New Hampshire,1800,1100,700,85,30,4,110,45
Crystal Mountain,Enumclaw,Washington,7012,3912,3100,2600,57,12,350,96
Peek'n Peak Resort,Erie,New York,1800,1400,400,130,27,9,105,64
Echo Mountain,Evergreen,Colorado,10650,10050,600,226,13,2,275,55
Yawgoo Valley,Exeter,Rhode Island,310,70,240,36,14,3,39,50
Toggenburg Mountain Ski Center,Fabius,New York,2000,1300,700,85,22,5,130,57
Moose Mountain,Fairbanks,Alaska,1985,685,1300,200,40,0,70,40
Mount Aurora Skiland,Fairbanks,Alaska,2435,1408,1027,530,46,2,186,40
Soldier Mountain,Fairfield,Idaho,7177,5756,1400,1180,36,2,186,45
Saddleback Maine,Farmington,Maine,4120,2120,2000,485,66,5,200,63
Four Season Ski Center,Fayetteville,New York,604,545,59,12,4,2,186,24
Fernie Alpine Resort,Fernie,British Columbia,7000,3450,3550,2500,142,10,360,90
Arizona Snowbowl,Flagstaff,Arizona,11500,9200,2300,777,40,7,260,99
Keyes Peak Ski Hill,Florence,Wisconsin,1480,1250,230,670,5,2,60,12
Whitetail Ridge Ski Area,Fort McCoy,Wisconsin,1050,865,185,670,43,1,186,37
Cannon Mountain Ski Area,Franconia,New Hampshire,4180,1850,2330,265,73,10,160,82
Veterans Memorial Recreation Area,Franklin,New Hampshire,4484,3277,220,670,10,2,186,63
Apple Mountain,Freeland,Michigan,820,600,220,80,12,6,52,63
Copper Mountain (Colorado) ,Frisco,Colorado,12313,9712,2601,2450,126,22,282,190
Chestnut Mountain,Galena,Illinois,1020,600,420,220,19,9,34,60
Ober Gatlinburg,Gatlinburg,Tennessee,3300,2700,600,38,10,4,9,65
Otsego Club and Resort,Gaylord,Michigan,1380,1080,300,160,30,5,150,65
Treetops Resort,Gaylord,Michigan,1345,1120,225,80,23,5,175,43
Loveland Ski Area,Georgetown,Colorado,13010,10800,2210,1800,94,11,422,89
Liberty Mountain Resort,Gettysburg,Pennsylvania,1190,570,620,100,22,9,31,105
Winterplace,Ghent,West Virginia,3600,2997,603,90,28,9,100,72
Alyeska Resort ,Girdwood,Alaska,3939,250,2500,1400,73,9,643,89
Mt Baker ,Glacier,Washington,5089,3500,1589,1000,31,10,641,63
The Homestead,Glen Arbor,Michigan,900,580,320,16,15,5,150,39
Gore Mountain Ski Resort,Glens Falls,New York,3600,1000,2600,428,109,15,150,94
West Mountain,Glens Falls,New York,1470,460,1010,124,30,7,80,79
Kissing Bridge,Glenwood,New York,1700,1150,550,700,39,10,120,65
Sunlight Mountain,Glenwood Springs,Colorado,9895,7885,2010,470,67,3,250,55
Timber Ridge,Gobles,Michigan,850,650,200,50,16,8,186,45
Kicking Horse Resort,Golden,British Columbia,8218,3900,4314,3486,120,3,295,73
Mount Hood Skibowl,Government Camp,Oregon,5027,3500,1527,960,65,9,300,55
Summit Ski Area,Government Camp,Oregon,4306,4000,306,70,3,2,150,38
Timberline Lodge,Government Camp,Oregon,8540,4850,3620,1430,35,9,540,85
Granby Ranch,Granby,Colorado,9202,8202,1000,406,40,5,220,84
Mulligan's Hollow Ski Bowl,Grand Haven,Michigan,700,570,130,10,7,5,60,20
Powderhorn Resort,Grand Junction,Colorado,9850,8200,1650,1600,63,5,250,71
Mount Itasca,Grand Rapids,Minnesota,4484,3277,1178,670,43,7,186,20
Snowhaven,Grangeville,Idaho,5600,5200,400,40,9,2,60,19
Catamount Ski Area,Great Barrington,New York,2000,1000,1000,119,36,7,75,30
Ski Butternut,Great Barrington,Massachusetts,1764,645,1119,110,22,10,115,65
Showdown,Great Falls,Montana,8200,6800,1400,640,36,4,240,49
Triangle Sports Area,Green Bay,Wisconsin,710,640,70,670,2,3,186,5
Berkshire East,Greenfield,Massachusetts,1720,540,1180,180,45,6,120,69
Big Squaw Mountain,Greenville,Maine,2920,1300,1620,1216,33,1,136,30
Willard Mountain,Greenwich,New York,1415,910,505,50,16,5,80,47
Sunrise Park,Greer,Arizona,11100,9200,1900,800,65,9,250,78
Swain Resort,Grove,New York,1970,1320,650,130,35,5,120,65
Cranor Hill,Gunnison,Colorado,8500,8100,400,45,4,1,75,17
Rotarun,Hailey,Idaho,5895,5420,475,670,12,1,186,20
Lost Trail Powder Mountain,Hamilton,Montana,8200,6400,1800,1800,60,8,325,46
Middlebury College Snow Bowl,Hancock,Vermont,2720,1720,1000,110,17,3,250,60
Mont Ripley Ski Area,Hancock,Michigan,1140,700,440,112,25,4,275,52
Boyne Highlands Resort,Harbor Springs,Michigan,1290,745,545,435,55,10,140,75
Nub's Nob Ski Area,Harbor Springs,Michigan,1338,911,427,248,53,10,123,88
Snow Snake Mountain Ski Area,Harrison,Michigan,1230,1020,210,40,12,6,186,35
Massanutten Resort,Harrisonburg,Virginia,2925,1750,1110,70,13,7,35,79
Ski Sundown,Hartford,Connecticut,1075,450,625,70,16,5,45,62
Ski Bradford,Haverhill,Massachusetts,272,24,248,48,15,10,186,58
Bear Paw Ski Bowl,Havre,Montana,5280,4200,1080,80,11,2,140,20
Great Divide,Helena,Montana,7210,5880,1330,1500,140,6,180,48
Pats Peak Ski Area,Henniker,New Hampshire,1460,690,770,103,28,11,100,75
Hidden Valley Resort,Hidden Valley,Pennsylvania,2875,2405,470,110,26,11,140,61
Homewood,Homewood,California,7881,6223,1658,1260,60,7,400,139
Copper Spur,Hood River,Oregon,4350,4000,350,50,10,4,100,39
Homestead Resort,Hot Springs,Virginia,3200,2500,700,45,10,2,50,35
Hunter Mountain,Hunter,New York,3200,1600,1600,240,58,10,120,91
Snowbasin,Huntsville,Utah,9350,6391,2959,3000,104,11,350,99
Kelly Canyon,Idaho Falls,Idaho,6600,5600,1000,640,26,5,200,42
Diamond Peak,Incline Village,Nevada,8540,6700,1840,655,30,6,225,99
Panorama Mountain Resort,Invermere,British Columbia,7792,3773,4019,2847,120,10,196,92
Pine Mountain Resort,Iron Mountain,Michigan,1650,1150,500,220,31,4,60,49
Mount Zion Ski Hill,Ironwood,Michigan,1400,1100,300,20,9,2,186,25
Black Mountain Ski Area,Jackson,New Hampshire,2350,1250,1100,143,40,5,125,62
Snow King,Jackson,Wyoming,7808,6237,1571,400,32,5,175,59
Wildcat Mountain,Jackson,New Hampshire,4062,1950,2112,225,48,5,207,120
Marmot Basin ,Jasper,Alberta,8570,5570,3000,1675,86,8,160,105
Jay Peak,Jay,Vermont,3968,1815,2153,385,79,9,350,89
Spruce Mountain Ski Slope,Jay,Maine,310,10,300,670,12,3,186,25
Smuggler's Notch,Jeffersonville,Vermont,3640,1030,2610,1000,78,16,288,82
Royal Mountain Ski Area,Johnstown,New York,1800,1250,550,35,14,3,90,45
Ferguson Ridge,Joseph,Oregon,5840,5200,640,170,8,2,300,20
June Mountain,June Lake,California,10090,7545,2590,500,35,7,250,119
Eaglecrest,Juneau,Alaska,2750,1130,1620,640,34,4,350,58
Blacktail Mountain,Kalispell,Montana,6780,5340,1440,1000,26,4,250,42
Whitefish Mountain Resort,Kalispell,Montana,6817,4464,2353,3000,105,14,300,83
Harper Mountain,Kamloops,British Columbia,4484,3277,1400,400,43,7,156,63
Sun Peaks Resort,Kamloops,British Columbia,6824,3930,2894,4270,135,12,237,74
Nakiska,Kananaskis,Alberta,7415,5003,2412,1021,79,6,100,63
Granite Gorge,Keene,New Hampshire,1325,935,390,150,19,3,186,49
Big White Ski Resort ,Kelowna,British Columbia,7606,4950,2656,2800,118,16,294,76
Andes Tower Hills,Kensington,Minnesota,1620,1330,290,35,15,6,55,45
Kewaunee Winter Park,Kewaunee,Wisconsin,740,580,160,670,5,1,186,15
Arapahoe Basin,Keystone,Colorado,13050,10520,2530,1428,147,9,350,109
Keystone Resort,Keystone,Colorado,12408,9280,3128,3148,131,20,235,169
Killington Ski Resort,Killington,Vermont,4241,1165,3050,1509,155,21,250,125
Pico Mountain,Killington,Vermont,3967,2000,1967,468,57,7,250,85
Powder Ridge,Kimball,Minnesota,850,540,310,60,15,6,45,50
Kimberley Alpine Resort,Kimberley,British Columbia,4484,3277,2464,1800,43,7,160,63
Belleyare Ski Center,Kingston,New York,3429,2024,1405,173,52,8,141,80
Kirkwood,Kirkwood,California,9800,7800,2000,2300,86,15,500,119
Mount La Cross,La Crosse,Wisconsin,1010,594,516,100,19,4,40,58
Ski Big Bear,Lackawaxen,Pennsylvania,1250,600,650,26,18,7,69,64
Gunstock Mountain Resort,Laconia,New Hampshire,2267,867,1400,227,55,6,120,84
Lake City,Lake City,Colorado,8850,8600,250,14,7,1,186,20
Grand Geneva Resort and Spa,Lake Geneva,Wisconsin,1000,789,211,30,20,5,25,55
Lake Louise Mountain Resort ,Lake Louise,Alberta,8650,5400,3250,4200,139,9,180,84
Whiteface Mountain,Lake Placid,New York,4650,1220,3430,314,87,11,168,104
China Peak,Lakeshore,California,8709,7030,1673,1200,45,11,300,99
Warner Canyon,Lakeview,Oregon,6003,5271,732,200,21,1,50,35
Mount Prospect Ski Tow,Lancaster,New Hampshire,1700,1400,300,670,43,1,186,7
Lee Canyon (Ski and Snowboard Resort),Las Vegas,Nevada,11289,8510,860,385,27,3,161,79
Perfect North Slopes,Lawrenceburg,Indiana,800,400,400,100,23,11,23,52
Terry Peak,Lead,South Dakota,7064,5930,1134,450,30,4,150,59
Cooper ,Leadville,Colorado,11700,10500,1200,470,60,5,260,70
Leavenworth Ski Hill,Leavenworth,Washington,1706,1476,230,17,2,2,186,22
Storrs Hill Ski Area,Lebanon,New Hampshire,580,280,300,20,3,1,186,15
Mount Jefferson,Lee,Maine,775,343,432,160,13,2,75,25
Roundtop Mountain Resort,Lewisberry,Pennsylvania,1335,755,600,103,20,7,30,73
Black Mountain of Maine,Lewiston,Maine,2380,1000,1380,300,46,2,120,45
Lost Valley,Lewiston,Maine,480,240,240,45,27,4,99,60
Turner Mountain,Libby,Montana,5952,3842,2110,1000,22,1,200,38
Laurel Mountain Ski Resort,Ligonier,Pennsylvania,2800,2000,800,70,20,2,186,58
Kanc Recreation Area,Lincoln,New Hampshire,1080,859,221,7,2,1,186,5
Loon Mountain Resort,Lincoln,New Hampshire,3050,950,2100,370,61,12,163,104
Mt. Eustis Ski Hill,Littleton,New Hampshire,1373,1133,240,670,43,1,186,5
Beaver Mountain,Logan,Utah,8800,7200,1600,667,47,5,400,50
Magic Mountain,Londonderry,Vermont,2850,1350,1500,205,51,6,150,74
Pajarito Mountain Ski Area ,Los Alamos,New Mexico,10440,9000,1440,750,44,5,163,59
Okemo Mountain,Ludlow,Vermont,3344,1144,2200,632,119,19,200,119
Lutsen Mountains,Lutsen,Minnesota,1688,825,863,1000,95,9,115,86
Dartmouth Skiway,Lyme,New Hampshire,1943,975,968,104,30,4,100,53
Lyndon Outing Club,Lyndon,Vermont,1247,814,433,32,10,2,186,15
Burke Mountain,Lyndonville,Vermont,3267,1210,2011,178,50,6,217,75
King Pine Ski Area,Madison,New Hampshire,850,500,350,48,17,6,120,59
Cataloochee Ski Area ,Maggie Valley,North Carolina,5400,4660,740,50,18,5,24,72
Campgaw Mountain,Mahwah,New Jersey,726,450,276,23,12,5,45,41
Titus Mountain Family Ski Center,Malone,New York,2025,825,1200,380,50,10,150,49
Mammoth Mountain,Mammoth Lakes,California,11053,7953,3100,3500,150,28,420,179
Bromley Mountain Resort,Manchester,Vermont,3284,1950,1334,178,47,9,168,92
Crotched Mountain Ski and Ride,Manchester,New Hampshire,2066,1050,1016,75,23,5,105,71
McIntyre Ski Area,Manchester,New Hampshire,510,340,169,37,10,5,186,42
Huff Hills,Mandan,North Dakota,2150,1725,425,670,21,3,40,35
Mount Kato,Mankato,Minnesota,840,600,240,55,19,11,50,49
Manning Park,Manning Park,British Columbia,4484,3277,1417,140,43,7,296,63
Snow Trails,Mansfield,Ohio,1475,1175,300,80,17,7,52,52
Snowshoe Mountain,Marlinton,West Virginia,4848,3348,1500,244,60,14,180,109
Marquette Mountain Ski Area,Marquette,Michigan,1257,800,457,169,25,4,117,54
Wolf Ridge Ski Resort ,Mars Hill,North Carolina,4700,4000,700,65,15,4,65,65
Brundage Mountain,McCall,Idaho,7803,5882,1921,1920,46,5,320,73
Wisp Ski Resort,McHenry,Maryland,3115,2145,700,132,34,12,100,49
Cloudmont Resort,Mentone,Alabama,1800,1650,150,9,2,2,0,40
Bruce Mound Winter Sports Area,Merrillan,Wisconsin,1375,1000,375,40,12,5,42,26
Powder Ridge,Middlefield,Connecticut,803,377,426,80,19,7,60,49
The Rock Snowpark,Milwaukee,Wisconsin,925,700,225,75,10,5,186,36
Montana Snowbowl,Missoula,Montana,7600,5000,2600,950,39,4,300,52
Mount Bohemia,Mohawk,Michigan,1500,600,900,585,102,2,273,74
Snowstar Winter Sports Park,Moline,Illinois,790,528,262,28,14,6,38,41
Mont Tremblant Resort,Mont Tremblant,Quebec,2870,750,2120,627,95,14,156,70
Holiday Mountain,Monticello,New York,1550,1150,400,37,9,4,50,42
Ski Sawmill Resort,Morris,Pennsylvania,2215,1700,515,15,14,5,24,48
Red Hill Ski Area,Moultonborough,New Hampshire,820,610,210,670,9,1,186,63
Mount Baldy Ski Lifts,Mount Baldy,California,8600,6500,2100,800,26,4,170,99
Tyrol Basin,Mount Horeb,Wisconsin,1130,870,260,30,16,6,41,48
Mount Shasta Ski Park,Mount Shasta,California,9200,7800,1435,425,32,4,275,69
Four Lakes Alpine Snowsports,Naperville,Illinois,500,400,100,9,7,6,24,28
Eldora Mountain Resort ,Nederland,Colorado,10600,9400,1200,680,53,12,300,129
Whitewater Ski Resort,Nelson,British Columbia,6709,4665,2044,1180,46,4,472,63
Sunday River,Newry,Maine,3140,800,2340,870,153,18,155,109
Mount Ski Gull,Nisswa,Minnesota,1515,1285,230,40,10,5,50,39
Donner Ski Ranch,Norden,California,7781,7031,750,435,52,8,400,79
Sugar Bowl,Norden,California,8383,6883,1500,1500,94,13,500,121
The Summit at Snoqualmie,North Bend,Washington,5420,2610,2280,1914,62,27,435,58
Attitash Mountain Resort,North Conway,New Hampshire,2350,600,1750,311,68,9,120,56
Cranmore Mountain Resort,North Conway,New Hampshire,2000,600,1200,200,54,10,150,89
Anthony Lakes,North Powder,Oregon,8000,7100,900,1100,21,3,300,40
Grouse Mountain ,North Vancouver,British Columbia,4039,899,1198,212,26,5,120,58
Mount Seymour ,North Vancouver,British Columbia,4150,935,1083,200,23,5,394,51
Norway Mountain Resort,Norway,Michigan,1335,835,500,186,17,6,100,45
Willamette Pass,Oakridge,Oregon,6683,5120,1563,555,29,6,430,60
Nordic Valley,Ogden,Utah,6400,5440,960,140,23,4,300,45
McCauley Mountain Ski Center,Old Forge,New York,2280,1647,633,70,21,5,200,35
Mount Baldy Ski Area,Oliver,British Columbia,4484,3277,1293,600,43,7,256,63
Mount Crescent,Omaha,Iowa,1500,1200,300,50,11,2,30,39
Porcupine Mountains Ski Area,Ontonagon,Michigan,1360,720,640,200,19,3,186,45
Otis Ridge Ski Camp,Otis,Massachusetts,1700,1300,400,55,11,5,70,40
Bittersweet Ski Resort,Otsego,Michigan,850,450,400,100,20,12,90,50
Lee's Ski Hill,Ouray,Colorado,7867,7792,75,2,1,1,134,63
Wolf Creek Ski Area,Pagosa Springs,Colorado,11904,10300,1604,1600,77,7,465,76
Blue Mountain Ski Area,Palmerton,Pennsylvania,1540,458,1082,164,39,13,33,70
Paoli Peaks,Paoili,Indiana,900,600,300,65,17,8,18,45
Deer Valley,Park City,Utah,9570,6570,3000,2026,100,21,280,209
Park City Mountain Resort,Park City,Utah,10000,6900,3100,7300,348,41,360,179
Thunder Ridge Ski Area,Patterson,New York,1270,670,600,90,21,7,186,57
Boston Mills/Brandywine,Peninsula,Ohio,871,531,240,79,18,16,54,44
Apex Mountain Resort,Penticton,British Columbia,7197,5197,2000,1112,79,4,236,65
Le Massif,Petite-Rivi̬re-Saint-Fran̤ois,Quebec,2645,118,2527,410,48,4,248,61
Petoskey Winter Sports Park,Petoskey,Michigan,790,720,70,670,43,1,186,63
Bald Mountain,Pierce,Idaho,4800,4000,800,140,16,2,100,20
Castle Mountain Resort ,Pincher Creek,Alberta,7463,4630,2833,3592,94,6,354,71
White Pine,Pinedale,Wyoming,9500,8450,1050,350,27,2,150,50
Bosquet Ski Area,Pittsfield,Massachusetts,1818,1068,750,200,23,5,83,47
Jiminy Peak,Pittsfield,Massachusetts,2375,1125,1140,170,45,8,110,84
Beartown Ski Area,Plattburgh,New York,1000,850,150,32,9,2,186,22
Boyce Park Four Seasons Lodge,Plum,Pennsylvania,1245,1115,130,25,9,5,186,28
Nutt Hill Ski Area,Plymouth,Wisconsin,4484,3277,100,10,2,1,186,63
Tenney Mountain Resort,Plymouth,New Hampshire,2149,749,1400,110,45,3,140,59
Pebble Creek,Pocatello,Idaho,8560,6360,2200,1100,54,3,250,52
Suicide Six,Pomfret,Vermont,1200,550,650,100,23,3,110,79
Hurricane Ridge,Port Angeles,Washington,5500,4800,700,670,10,3,400,37
Cascade Mountain,Portage,Wisconsin,1270,820,450,175,47,11,56,66
Standing Rocks County Park and Winter Recreation Area,Portage,Wisconsin,4484,3277,125,670,5,1,186,16
Mount Hood Meadows ,Portland,Oregon,7300,4523,2777,2150,85,11,430,79
Powderhouse Hill,Portland,Maine,240,120,120,670,3,1,186,5
Big Rock,Presque Isle,Maine,1590,670,920,60,27,3,100,40
Sundance Mountain,Provo,Utah,8250,6100,2150,450,44,5,320,90
Canyon Ski Area,Red Deer,Alberta,2950,2412,538,80,23,6,45,35
Beartooth Basin Summer Ski Area,Red Lodge,Montana,10900,9900,1000,600,9,2,186,45
Red Lodge Mountain,Red Lodge,Montana,9416,7016,2400,1635,70,7,250,69
Red River,Red River,New Mexico,10350,8750,1600,209,64,7,214,82
Welch Village,Red Wing,Minnesota,1060,700,360,140,60,11,45,62
Mt. Rose Ski Tahoe,Reno,Nevada,9700,8260,1800,1200,60,8,396,135
Revelstoke Mountain Resort,Revelstoke,British Columbia,7300,1680,5620,3121,75,5,413,119
Camp 10 Ski Area,Rhinelander,Wisconsin,1740,1510,230,670,15,4,186,38
Cherry Peak,Richmond,Utah,7050,5775,1265,200,29,3,322,40
Cochran's Ski Area,Richmond,Vermont,950,600,350,15,8,3,150,19
Bristol Mountain Ski Resort,Rochester,New York,2150,1000,1150,160,35,6,130,79
Woods Valley Ski Area,Rome,New York,1400,900,500,25,21,6,180,39
Red Mountain Resort ,Rossland ,British Columbia,6807,3887,2919,4200,110,7,300,74
Plattekill Mountain,Roxbury,New York,3500,2400,1100,110,38,4,175,68
Ski Apache,Ruidoso,New Mexico,11500,9600,1900,750,55,8,185,74
Snow Valley Mountain Resort,Running Springs,California,7841,6800,1041,240,29,12,150,72
Monarch,Salida,Colorado,11960,10790,1170,800,63,5,400,94
Salmo Ski Area,Salmo,British Columbia,4484,3277,1120,670,43,7,120,63
Alta Ski Area ,Salt Lake City,Utah,10550,8530,2020,2200,116,10,560,125
Brighton Ski Resort ,Salt Lake City,Utah,10500,8755,1745,1500,66,6,500,99
Snowbird ,Salt Lake City,Utah,10992,7760,3240,2500,85,13,500,145
Solitude Mountain,Salt Lake City,Utah,10488,7988,2500,1200,80,8,500,115
Schweitzer,Sandpoint,Idaho,6400,4000,2400,2900,92,7,300,86
Ski Santa Fe ,Santa Fe,New Mexico,12075,10350,1725,660,83,7,225,84
Sapphire Valley Ski Area ,Sapphire,North Carolina,3400,3200,200,8,3,3,24,45
Mount Pisgah Ski Area,Saranac Lake,New York,2060,1770,290,15,5,1,186,15
Searchmont,"Sault Ste. Marie, Ontario",Ontario,912,1470,700,100,21,4,132,59
